Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
group_868		FIG00469877: hypothetical protein	36	36	1	1	1571				263	263	263	ERR494558_00418	ERR713656_00309	ERR278423_00422	ERR083948_00209	ERR083973_00221	ERR084064_01059	ERR108372_00238	ERR128814_01366	ERR193205_00217	ERR221288_01348	ERR221374_00431	ERR278230_00093	ERR278242_00093	ERR278359_00450	ERR278461_00426	ERR343073_01484	ERR356128_00425	ERR593768_00419	H1604_00306	H1605_00411	H1606_00217	H1607_00218	H1608_00206	H1662_00359	H1664_00435	H1666_00210	H1668_00399	H1670_00364	H704_00265	SRR065736_00270
group_871		tautomerase	36	36	1	1	1525				206	206	206	ERR494558_00434	ERR713656_00436	ERR278423_00439	ERR083948_00222	ERR083973_00236	ERR084064_00344	ERR108372_01261	ERR128814_01347	ERR193205_00233	ERR221288_00005	ERR221374_00453	ERR278230_00115	ERR278242_00116	ERR278359_00469	ERR278461_00440	ERR343073_01466	ERR356128_00440	ERR593768_00436	H1604_00322	H1605_00428	H1606_00231	H1607_00231	H1608_00225	H1662_00376	H1664_00451	H1666_00232	H1668_00412	H1670_00380	H704_00282	SRR065736_00286
bcp		"Thiol peroxidase, Bcp-type"	36	36	1	1	1524				455	455	455	ERR494558_00435	ERR713656_00437	ERR278423_00440	ERR083948_00223	ERR083973_00237	ERR084064_00345	ERR108372_01262	ERR128814_01346	ERR193205_00234	ERR221288_00006	ERR221374_00454	ERR278230_00116	ERR278242_00117	ERR278359_00470	ERR278461_00441	ERR343073_01465	ERR356128_00441	ERR593768_00437	H1604_00323	H1605_00429	H1606_00232	H1607_00232	H1608_00226	H1662_00377	H1664_00452	H1666_00233	H1668_00413	H1670_00381	H704_00283	SRR065736_00287
tal		transaldolase	36	36	1	1	1515				977	1022	979	ERR494558_00444	ERR713656_00446	ERR278423_00449	ERR083948_00232	ERR083973_00246	ERR084064_00354	ERR108372_01271	ERR128814_01337	ERR193205_00243	ERR221288_00015	ERR221374_00463	ERR278230_00125	ERR278242_00126	ERR278359_00479	ERR278461_00450	ERR343073_01456	ERR356128_00450	ERR593768_00445	H1604_00332	H1605_00438	H1606_00241	H1607_00241	H1608_00235	H1662_00386	H1664_00461	H1666_00242	H1668_00422	H1670_00390	H704_00292	SRR065736_00296
hisC		histidinol-phosphate aminotransferase	36	36	1	1	2765				1094	1094	1094	ERR494558_00479	ERR713656_00481	ERR278423_00484	ERR083948_00262	ERR083973_00284	ERR084064_00394	ERR108372_01309	ERR128814_01304	ERR193205_00278	ERR221288_00056	ERR221374_00493	ERR278230_00155	ERR278242_00156	ERR278359_00519	ERR278461_00485	ERR343073_01423	ERR356128_00485	ERR593768_00479	H1604_00367	H1605_00471	H1606_00277	H1607_00277	H1608_00265	H1662_00421	H1664_00498	H1666_00272	H1668_00457	H1670_00425	H704_00326	SRR065736_00330
group_878		FIG00469432: hypothetical protein	36	36	1	1	2771				1196	1196	1196	ERR494558_00485	ERR713656_00487	ERR278423_00490	ERR083948_00268	ERR083973_00290	ERR084064_00400	ERR108372_01315	ERR128814_01298	ERR193205_00284	ERR221288_00062	ERR221374_00499	ERR278230_00161	ERR278242_00162	ERR278359_00525	ERR278461_00491	ERR343073_01417	ERR356128_00491	ERR593768_00485	H1604_00373	H1605_00477	H1606_00283	H1607_00283	H1608_00271	H1662_00427	H1664_00504	H1666_00278	H1668_00463	H1670_00431	H704_00332	SRR065736_00336
yqaA		integral membrane protein	36	36	1	1	2792				443	443	443	ERR494558_00503	ERR713656_00505	ERR278423_00508	ERR083948_00286	ERR083973_00310	ERR084064_00418	ERR108372_01335	ERR128814_01280	ERR193205_00304	ERR221288_00082	ERR221374_00517	ERR278230_00179	ERR278242_00180	ERR278359_00543	ERR278461_00509	ERR343073_01399	ERR356128_00509	ERR593768_00503	H1604_00391	H1605_00495	H1606_00303	H1607_00303	H1608_00289	H1662_00445	H1664_00522	H1666_00296	H1668_00481	H1670_00449	H704_00352	SRR065736_01674
trpA		tryptophan synthase subunit alpha	36	36	1	1	2802				749	749	749	ERR494558_00510	ERR713656_00512	ERR278423_00515	ERR083948_00293	ERR083973_00317	ERR084064_00428	ERR108372_01342	ERR128814_01270	ERR193205_00311	ERR221288_00090	ERR221374_00524	ERR278230_00186	ERR278242_00187	ERR278359_00553	ERR278461_00516	ERR343073_01389	ERR356128_00516	ERR593768_00510	H1604_00398	H1605_00505	H1606_00310	H1607_00310	H1608_00296	H1662_00452	H1664_00532	H1666_00303	H1668_00490	H1670_00456	H704_00359	SRR065736_01681
group_883		chain-length determining protein	36	36	1	1	2818				251	251	251	ERR494558_00524	ERR713656_00526	ERR278423_00529	ERR083948_00307	ERR083973_00331	ERR084064_00442	ERR108372_01356	ERR128814_01256	ERR193205_00325	ERR221288_00104	ERR221374_00538	ERR278230_00200	ERR278242_00201	ERR278359_00567	ERR278461_00530	ERR343073_01375	ERR356128_00530	ERR593768_00524	H1604_00412	H1605_00519	H1606_00324	H1607_00324	H1608_00310	H1662_00466	H1664_00546	H1666_00317	H1668_00504	H1670_00470	H704_00373	SRR065736_00386
cmeA		periplasmic fusion protein CmeA	36	36	1	1	2822				1103	1103	1103	ERR494558_00527	ERR713656_00529	ERR278423_00532	ERR083948_00310	ERR083973_00334	ERR084064_00445	ERR108372_01359	ERR128814_01253	ERR193205_00328	ERR221288_00107	ERR221374_00541	ERR278230_00203	ERR278242_00204	ERR278359_00570	ERR278461_00533	ERR343073_01372	ERR356128_00533	ERR593768_00527	H1604_00415	H1605_00522	H1606_00327	H1607_00327	H1608_00313	H1662_00470	H1664_00549	H1666_00320	H1668_00507	H1670_00474	H704_00376	SRR065736_00389
cmeR		transcriptional regulator CmeR	36	36	1	1	2823				506	632	628	ERR494558_00528	ERR713656_00530	ERR278423_00533	ERR083948_00311	ERR083973_00335	ERR084064_00446	ERR108372_01360	ERR128814_01252	ERR193205_00329	ERR221288_00108	ERR221374_00542	ERR278230_00204	ERR278242_00205	ERR278359_00571	ERR278461_00534	ERR343073_01371	ERR356128_00535	ERR593768_00528	H1604_00416	H1605_00523	H1606_00328	H1607_00328	H1608_00314	H1662_00471	H1664_00550	H1666_00321	H1668_00508	H1670_00475	H704_00377	SRR065736_00390
group_889		FIG00469797: hypothetical protein	36	36	1	1	2852				578	578	578	ERR494558_00557	ERR713656_00559	ERR278423_00562	ERR083948_00339	ERR083973_00364	ERR084064_00475	ERR108372_01389	ERR128814_01223	ERR193205_00358	ERR221288_00137	ERR221374_00570	ERR278230_00232	ERR278242_00233	ERR278359_00600	ERR278461_00563	ERR343073_01342	ERR356128_00564	ERR593768_00557	H1604_00445	H1605_00552	H1606_00357	H1607_00358	H1608_00342	H1662_00500	H1664_00581	H1666_00350	H1668_00537	H1670_00504	H704_00406	SRR065736_00419
group_890		DedD protein	36	36	1	1	2859				836	899	839	ERR494558_00564	ERR713656_00566	ERR278423_00569	ERR083948_00346	ERR083973_00371	ERR084064_00482	ERR108372_01396	ERR128814_01216	ERR193205_00365	ERR221288_00144	ERR221374_00577	ERR278230_00239	ERR278242_00240	ERR278359_00607	ERR278461_00570	ERR343073_01335	ERR356128_00571	ERR593768_00564	H1604_00452	H1605_00559	H1606_00365	H1607_00365	H1608_00349	H1662_00507	H1664_00588	H1666_00357	H1668_00544	H1670_00511	H704_00413	SRR065736_00427
group_891		ATP/GTP binding protein	36	36	1	1	2866				323	2186	2134	ERR494558_00571	ERR713656_00573	ERR278423_00576	ERR083948_00353	ERR083973_00378	ERR084064_00489	ERR108372_01403	ERR128814_01209	ERR193205_00372	ERR221288_00151	ERR221374_00584	ERR278230_00246	ERR278242_00247	ERR278359_00614	ERR278461_00577	ERR343073_01328	ERR356128_00578	ERR593768_00571	H1604_00459	H1605_00566	H1606_00372	H1607_00372	H1608_00356	H1662_00514	H1664_00595	H1666_00364	H1668_00551	H1670_00518	H704_00420	SRR065736_00434
hcpC		beta-lactamase HcpE	36	36	1	1	2868				704	704	704	ERR494558_00573	ERR713656_00575	ERR278423_00578	ERR083948_00355	ERR083973_00380	ERR084064_00491	ERR108372_01405	ERR128814_01207	ERR193205_00374	ERR221288_00153	ERR221374_00586	ERR278230_00248	ERR278242_00249	ERR278359_00616	ERR278461_00579	ERR343073_01326	ERR356128_00580	ERR593768_00573	H1604_00461	H1605_00568	H1606_00374	H1607_00374	H1608_00358	H1662_00516	H1664_00597	H1666_00366	H1668_00553	H1670_00520	H704_00422	SRR065736_00436
group_894		FIG00469840: hypothetical protein	36	36	1	1	2889				383	383	383	ERR494558_00588	ERR713656_00590	ERR278423_00592	ERR083948_00371	ERR083973_00397	ERR084064_00506	ERR108372_01422	ERR128814_01192	ERR193205_00391	ERR221288_00170	ERR221374_00602	ERR278230_00264	ERR278242_00265	ERR278359_00631	ERR278461_00594	ERR343073_01311	ERR356128_00595	ERR593768_00588	H1604_00476	H1605_00583	H1606_00391	H1607_00391	H1608_00373	H1662_00531	H1664_00611	H1666_00382	H1668_00567	H1670_00535	H704_00436	SRR065736_00450
murD		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	36	36	1	1	2741				1208	1265	1211	ERR494558_00593	ERR713656_00601	ERR278423_01820	ERR083948_00375	ERR083973_00401	ERR084064_00515	ERR108372_00063	ERR128814_00001	ERR193205_01224	ERR221288_00175	ERR221374_00663	ERR278230_00363	ERR278242_00794	ERR278359_00641	ERR278461_00599	ERR343073_00326	ERR356128_00599	ERR593768_00592	H1604_00480	H1605_00592	H1606_00395	H1607_00395	H1608_00377	H1662_00535	H1664_00620	H1666_00386	H1668_00575	H1670_00542	H704_00440	SRR065736_00454
sdhA		succinate dehydrogenase flavoprotein subunit	36	36	1	1	2736				998	1835	1765	ERR494558_00598	ERR713656_00606	ERR278423_01815	ERR083948_00381	ERR083973_00407	ERR084064_00521	ERR108372_00068	ERR128814_00008	ERR193205_01230	ERR221288_00181	ERR221374_00669	ERR278230_00369	ERR278242_00788	ERR278359_00647	ERR278461_00605	ERR343073_00333	ERR356128_00605	ERR593768_00597	H1604_00485	H1605_00598	H1606_00400	H1607_00401	H1608_00382	H1662_00540	H1664_00625	H1666_00392	H1668_00580	H1670_00547	H704_00445	SRR065736_00459
group_898		FIG00388607: hypothetical protein	36	36	1	1	2709				170	266	240	ERR494558_00620	ERR713656_00628	ERR278423_01793	ERR083948_00402	ERR083973_00429	ERR084064_00544	ERR108372_00090	ERR128814_00033	ERR193205_01309	ERR221288_00203	ERR221374_00690	ERR278230_00390	ERR278242_00767	ERR278359_00670	ERR278461_00628	ERR343073_00358	ERR356128_00628	ERR593768_00620	H1604_00507	H1605_00622	H1606_00422	H1607_00423	H1608_00403	H1662_00563	H1664_00648	H1666_00413	H1668_00603	H1670_00570	H704_00467	SRR065736_00481
ctb		FIG00469384: hypothetical protein	36	36	1	1	2701				383	383	383	ERR494558_00626	ERR713656_00634	ERR278423_01787	ERR083948_00408	ERR083973_00435	ERR084064_00550	ERR108372_00096	ERR128814_00039	ERR193205_01315	ERR221288_00209	ERR221374_00696	ERR278230_00396	ERR278242_00761	ERR278359_00676	ERR278461_00634	ERR343073_00364	ERR356128_00634	ERR593768_00626	H1604_00513	H1605_00628	H1606_00428	H1607_00429	H1608_00409	H1662_00569	H1664_00655	H1666_00419	H1668_00610	H1670_00577	H704_00473	SRR065736_00487
artM_1		polar amino acid transport system ATP-binding protein	36	36	1	1	2697				737	761	749	ERR494558_00630	ERR713656_00638	ERR278423_01783	ERR083948_00412	ERR083973_00439	ERR084064_00554	ERR108372_00100	ERR128814_00043	ERR193205_01319	ERR221288_00213	ERR221374_00700	ERR278230_00400	ERR278242_00757	ERR278359_00680	ERR278461_00638	ERR343073_00368	ERR356128_00638	ERR593768_00630	H1604_00517	H1605_00632	H1606_00432	H1607_00433	H1608_00413	H1662_00573	H1664_00659	H1666_00423	H1668_00614	H1670_00581	H704_00477	SRR065736_00491
group_904		lipoprotein	36	36	1	1	1202				1277	1277	1277	ERR494558_00664	ERR713656_00672	ERR278423_01695	ERR083948_00435	ERR083973_00471	ERR084064_00577	ERR108372_00132	ERR128814_00076	ERR193205_01351	ERR221288_00245	ERR221374_00723	ERR278230_00479	ERR278242_00733	ERR278359_00703	ERR278461_00672	ERR343073_00401	ERR356128_00672	ERR593768_00716	H1604_00549	H1605_00665	H1606_00464	H1607_00465	H1608_00436	H1662_00608	H1664_00682	H1666_00446	H1668_00649	H1670_00668	H704_00509	SRR065736_00523
selU		tRNA 2-selenouridine synthase	36	36	1	1	1205				998	1004	999	ERR494558_00667	ERR713656_00675	ERR278423_01692	ERR083948_00438	ERR083973_00474	ERR084064_00580	ERR108372_00135	ERR128814_00079	ERR193205_01354	ERR221288_00248	ERR221374_00726	ERR278230_00482	ERR278242_00730	ERR278359_00706	ERR278461_00675	ERR343073_00404	ERR356128_00675	ERR593768_00719	H1604_00552	H1605_00668	H1606_00467	H1607_00468	H1608_00439	H1662_00611	H1664_00685	H1666_00449	H1668_00652	H1670_00671	H704_00512	SRR065736_00526
group_906		membrane protein	36	36	1	1	1226				434	434	434	ERR494558_00686	ERR713656_00694	ERR278423_01673	ERR083948_01134	ERR083973_01328	ERR084064_00600	ERR108372_01234	ERR128814_00100	ERR193205_01373	ERR221288_01122	ERR221374_01646	ERR278230_01463	ERR278242_01337	ERR278359_00726	ERR278461_00695	ERR343073_00425	ERR356128_00695	ERR593768_00738	H1604_00571	H1605_00689	H1606_00486	H1607_00487	H1608_00457	H1662_00630	H1664_00705	H1666_01653	H1668_00671	H1670_00690	H704_00531	SRR065736_00545
yceG		aminodeoxychorismate lyase family protein	36	36	1	1	1234				464	902	870	ERR494558_00695	ERR713656_00703	ERR278423_01664	ERR083948_01128	ERR083973_01334	ERR084064_00608	ERR108372_01228	ERR128814_00106	ERR193205_01379	ERR221288_01116	ERR221374_01652	ERR278230_01469	ERR278242_01331	ERR278359_00734	ERR278461_00703	ERR343073_00431	ERR356128_00703	ERR593768_00747	H1604_00579	H1605_00695	H1606_00492	H1607_00493	H1608_00463	H1662_00639	H1664_00712	H1666_01659	H1668_00679	H1670_00699	H704_00539	SRR065736_00553
mdh		malate dehydrogenase	36	36	1	1	1238				677	902	895	ERR494558_00698	ERR713656_00706	ERR278423_01661	ERR083948_01125	ERR083973_01337	ERR084064_00611	ERR108372_01225	ERR128814_00109	ERR193205_01382	ERR221288_01113	ERR221374_01655	ERR278230_01472	ERR278242_01328	ERR278359_00737	ERR278461_00706	ERR343073_00434	ERR356128_00706	ERR593768_00750	H1604_00583	H1605_00698	H1606_00496	H1607_00496	H1608_00466	H1662_00642	H1664_00715	H1666_01662	H1668_00682	H1670_00703	H704_00542	SRR065736_00556
hemA		glutamyl-tRNA reductase	36	36	1	1	1248				1265	1298	1297	ERR494558_00708	ERR713656_00716	ERR278423_01651	ERR083948_01115	ERR083973_01347	ERR084064_00621	ERR108372_01215	ERR128814_00119	ERR193205_01392	ERR221288_01103	ERR221374_01665	ERR278230_01482	ERR278242_01318	ERR278359_00747	ERR278461_00716	ERR343073_00444	ERR356128_00716	ERR593768_00760	H1604_00593	H1605_00708	H1606_00506	H1607_00506	H1608_00476	H1662_00652	H1664_00725	H1666_01672	H1668_00692	H1670_00713	H704_00552	SRR065736_00566
ubiD		UbiD family decarboxylase associated with menaquinone via futalosine	36	36	1	1	1252				1613	1802	1796	ERR494558_00712	ERR713656_00720	ERR278423_01647	ERR083948_01111	ERR083973_01351	ERR084064_00625	ERR108372_01211	ERR128814_00123	ERR193205_01396	ERR221288_01099	ERR221374_01669	ERR278230_01486	ERR278242_01314	ERR278359_00751	ERR278461_00720	ERR343073_00448	ERR356128_00720	ERR593768_00764	H1604_00597	H1605_00712	H1606_00510	H1607_00510	H1608_00480	H1662_00656	H1664_00729	H1666_01676	H1668_00696	H1670_00717	H704_00556	SRR065736_00570
group_915		amidohydrolase	36	36	1	1	1264				797	797	797	ERR494558_00722	ERR713656_00730	ERR278423_01637	ERR083948_01101	ERR083973_01362	ERR084064_00636	ERR108372_01200	ERR128814_00135	ERR193205_01407	ERR221288_01088	ERR221374_01679	ERR278230_01496	ERR278242_01304	ERR278359_00762	ERR278461_00731	ERR343073_00460	ERR356128_00731	ERR593768_00775	H1604_00608	H1605_00723	H1606_00521	H1607_00521	H1608_00490	H1662_00667	H1664_00740	H1666_01686	H1668_00707	H1670_00728	H704_00567	SRR065736_00581
proA		gamma-glutamyl phosphate reductase	36	36	1	1	1267				383	1232	1208	ERR494558_00725	ERR713656_00733	ERR278423_01634	ERR083948_01099	ERR083973_01364	ERR084064_00638	ERR108372_01198	ERR128814_00137	ERR193205_01409	ERR221288_01086	ERR221374_01681	ERR278230_01498	ERR278242_01302	ERR278359_00764	ERR278461_00733	ERR343073_00462	ERR356128_00733	ERR593768_00778	H1604_00610	H1605_00726	H1606_00523	H1607_00523	H1608_00492	H1662_00670	H1664_00742	H1666_01688	H1668_00710	H1670_00731	H704_00569	SRR065736_00583
queA		S-adenosylmethionine--tRNA ribosyltransferase-isomerase	36	36	1	1	1299				1028	1028	1028	ERR494558_00746	ERR713656_00754	ERR278423_01613	ERR083948_01084	ERR083973_01385	ERR084064_00662	ERR108372_01177	ERR128814_00156	ERR193205_01429	ERR221288_01065	ERR221374_01696	ERR278230_01513	ERR278242_01287	ERR278359_00788	ERR278461_00754	ERR343073_00481	ERR356128_00756	ERR593768_00798	H1604_00632	H1605_00745	H1606_00543	H1607_00543	H1608_00506	H1662_00691	H1664_00765	H1666_01703	H1668_00732	H1670_00753	H704_00592	SRR065736_00606
tatB		sec-independent translocase	36	36	1	1	1301				407	416	412	ERR494558_00748	ERR713656_00756	ERR278423_01611	ERR083948_01082	ERR083973_01387	ERR084064_00664	ERR108372_01175	ERR128814_00158	ERR193205_01431	ERR221288_01063	ERR221374_01698	ERR278230_01515	ERR278242_01285	ERR278359_00790	ERR278461_00756	ERR343073_00483	ERR356128_00758	ERR593768_00800	H1604_00634	H1605_00747	H1606_00545	H1607_00545	H1608_00508	H1662_00693	H1664_00767	H1666_01705	H1668_00734	H1670_00755	H704_00594	SRR065736_00608
group_920		FIG00388669: hypothetical protein	36	36	1	1	1305				536	1142	552	ERR494558_00752	ERR713656_00760	ERR278423_01607	ERR083948_01078	ERR083973_01391	ERR084064_00668	ERR108372_01171	ERR128814_00162	ERR193205_01435	ERR221288_01059	ERR221374_01702	ERR278230_01519	ERR278242_01281	ERR278359_00794	ERR278461_00760	ERR343073_00487	ERR356128_00762	ERR593768_00804	H1604_00638	H1605_00751	H1606_00549	H1607_00549	H1608_00512	H1662_00697	H1664_00771	H1666_01709	H1668_00738	H1670_00759	H704_00598	SRR065736_00612
folP		dihydropteroate synthase	36	36	1	1	1307				833	1142	1133	ERR494558_00754	ERR713656_00762	ERR278423_01605	ERR083948_01076	ERR083973_01393	ERR084064_00670	ERR108372_01169	ERR128814_00164	ERR193205_01437	ERR221288_01057	ERR221374_01704	ERR278230_01521	ERR278242_01279	ERR278359_00796	ERR278461_00762	ERR343073_00489	ERR356128_00764	ERR593768_00806	H1604_00640	H1605_00753	H1606_00551	H1607_00551	H1608_00513	H1662_00699	H1664_00773	H1666_01712	H1668_00740	H1670_00761	H704_00600	SRR065736_00614
nucA		DNA/RNA non-specific endonuclease	36	36	1	1	1316				623	650	645	ERR494558_00763	ERR713656_00771	ERR278423_01596	ERR083948_01067	ERR083973_01402	ERR084064_00679	ERR108372_01160	ERR128814_00173	ERR193205_01446	ERR221288_01048	ERR221374_01713	ERR278230_01530	ERR278242_01270	ERR278359_00805	ERR278461_00771	ERR343073_00498	ERR356128_00773	ERR593768_00815	H1604_00649	H1605_00762	H1606_00560	H1607_00560	H1608_00522	H1662_00708	H1664_00782	H1666_01721	H1668_00749	H1670_00770	H704_00609	SRR065736_00623
group_926		1-aminocyclopropane-1-carboxylate deaminase	36	36	1	1	1322				686	875	869	ERR494558_00769	ERR713656_00777	ERR278423_01590	ERR083948_01061	ERR083973_01408	ERR084064_00685	ERR108372_01154	ERR128814_00179	ERR193205_01452	ERR221288_01042	ERR221374_01719	ERR278230_01536	ERR278242_01264	ERR278359_00811	ERR278461_00777	ERR343073_00504	ERR356128_00779	ERR593768_00821	H1604_00655	H1605_00768	H1606_00566	H1607_00566	H1608_00528	H1662_00714	H1664_00788	H1666_01727	H1668_00755	H1670_00776	H704_00615	SRR065736_00629
group_929		periplasmic protein	36	36	1	1	1334				1010	1010	1010	ERR494558_00779	ERR713656_00788	ERR278423_01580	ERR083948_01050	ERR083973_01418	ERR084064_00695	ERR108372_01144	ERR128814_00189	ERR193205_01462	ERR221288_01032	ERR221374_01730	ERR278230_01547	ERR278242_01253	ERR278359_00821	ERR278461_00787	ERR343073_00514	ERR356128_00789	ERR593768_00832	H1604_00665	H1605_00778	H1606_00576	H1607_00576	H1608_00540	H1662_00725	H1664_00798	H1666_01738	H1668_00765	H1670_00787	H704_00625	SRR065736_00640
hypF		[NiFe] hydrogenase maturation protein HypF	36	36	1	1	1348				2186	2189	2188	ERR494558_00791	ERR713656_00800	ERR278423_01568	ERR083948_01040	ERR083973_01429	ERR084064_00707	ERR108372_01133	ERR128814_00200	ERR193205_01474	ERR221288_01021	ERR221374_01740	ERR278230_01557	ERR278242_01243	ERR278359_00832	ERR278461_00798	ERR343073_00526	ERR356128_00800	ERR593768_00844	H1604_00677	H1605_00789	H1606_00587	H1607_00587	H1608_00550	H1662_00737	H1664_00810	H1666_01748	H1668_00776	H1670_00799	H704_00636	SRR065736_00650
hypB		[NiFe] hydrogenase nickel incorporation-associated protein HypB	36	36	1	1	1349				743	743	743	ERR494558_00792	ERR713656_00801	ERR278423_01567	ERR083948_01039	ERR083973_01430	ERR084064_00708	ERR108372_01132	ERR128814_00201	ERR193205_01475	ERR221288_01020	ERR221374_01741	ERR278230_01558	ERR278242_01242	ERR278359_00833	ERR278461_00799	ERR343073_00527	ERR356128_00801	ERR593768_00845	H1604_00678	H1605_00790	H1606_00588	H1607_00588	H1608_00551	H1662_00738	H1664_00811	H1666_01749	H1668_00777	H1670_00800	H704_00637	SRR065736_00651
hypA		hydrogenase nickel insertion protein HypA	36	36	1	1	1353				344	344	344	ERR494558_00796	ERR713656_00805	ERR278423_01563	ERR083948_01035	ERR083973_01434	ERR084064_00712	ERR108372_01128	ERR128814_00205	ERR193205_01479	ERR221288_01016	ERR221374_01745	ERR278230_01562	ERR278242_01238	ERR278359_00837	ERR278461_00803	ERR343073_00531	ERR356128_00805	ERR593768_00849	H1604_00682	H1605_00794	H1606_00592	H1607_00592	H1608_00555	H1662_00742	H1664_00815	H1666_01753	H1668_00781	H1670_00804	H704_00641	SRR065736_00655
group_933		DNA polymerase III subunit delta	36	36	1	1	1389				965	965	965	ERR494558_00798	ERR713656_00807	ERR278423_01561	ERR083948_01034	ERR083973_01435	ERR084064_00714	ERR108372_01127	ERR128814_00208	ERR193205_01480	ERR221288_01015	ERR221374_01746	ERR278230_01563	ERR278242_01237	ERR278359_00839	ERR278461_00806	ERR343073_00534	ERR356128_00808	ERR593768_00851	H1604_00685	H1605_00797	H1606_00593	H1607_00593	H1608_00556	H1662_00744	H1664_00817	H1666_01754	H1668_00783	H1670_00806	H704_00643	SRR065736_00658
group_934		periplasmic protein	36	36	1	1	1383				977	1082	1079	ERR494558_00801	ERR713656_00810	ERR278423_01558	ERR083948_01031	ERR083973_01438	ERR084064_00717	ERR108372_01124	ERR128814_00211	ERR193205_01483	ERR221288_01012	ERR221374_01749	ERR278230_01566	ERR278242_01234	ERR278359_00842	ERR278461_00809	ERR343073_00537	ERR356128_00811	ERR593768_00854	H1604_00688	H1605_00800	H1606_00596	H1607_00596	H1608_00559	H1662_00747	H1664_00820	H1666_01757	H1668_00786	H1670_00809	H704_00646	SRR065736_00661
smf		DNA processing protein DprA	36	36	1	1	1382				428	773	763	ERR494558_00802	ERR713656_00811	ERR278423_01557	ERR083948_01030	ERR083973_01439	ERR084064_00718	ERR108372_01123	ERR128814_00212	ERR193205_01484	ERR221288_01011	ERR221374_01750	ERR278230_01567	ERR278242_01233	ERR278359_00843	ERR278461_00810	ERR343073_00538	ERR356128_00812	ERR593768_00855	H1604_00689	H1605_00801	H1606_00597	H1607_00597	H1608_00560	H1662_00748	H1664_00821	H1666_01758	H1668_00787	H1670_00810	H704_00647	SRR065736_00662
group_936		FIG00469406: hypothetical protein	36	36	1	1	1367				515	515	515	ERR494558_00816	ERR713656_00825	ERR278423_01543	ERR083948_01015	ERR083973_01453	ERR084064_00733	ERR108372_01109	ERR128814_00226	ERR193205_01498	ERR221288_00997	ERR221374_01765	ERR278230_01582	ERR278242_01218	ERR278359_00858	ERR278461_00824	ERR343073_00552	ERR356128_00826	ERR593768_00869	H1604_00703	H1605_00815	H1606_00611	H1607_00611	H1608_00574	H1662_00762	H1664_00835	H1666_01773	H1668_00801	H1670_00824	H704_00661	SRR065736_00676
group_938		S4 domain-containing protein	36	36	1	1	1786				284	284	284	ERR494558_00832	ERR713656_00841	ERR278423_01527	ERR083948_00482	ERR083973_01472	ERR084064_00749	ERR108372_01092	ERR128814_00245	ERR193205_01517	ERR221288_00978	ERR221374_01116	ERR278230_00938	ERR278242_00411	ERR278359_00874	ERR278461_00843	ERR343073_00571	ERR356128_00844	ERR593768_00885	H1604_00719	H1605_00833	H1606_00629	H1607_00630	H1608_01720	H1662_00778	H1664_00853	H1666_01312	H1668_00819	H1670_00840	H704_00677	SRR065736_00693
ydiB		ATP/GTP binding protein	36	36	1	1	1787				407	407	407	ERR494558_00833	ERR713656_00842	ERR278423_01526	ERR083948_00483	ERR083973_01473	ERR084064_00750	ERR108372_01091	ERR128814_00246	ERR193205_01518	ERR221288_00977	ERR221374_01115	ERR278230_00937	ERR278242_00412	ERR278359_00875	ERR278461_00844	ERR343073_00572	ERR356128_00845	ERR593768_00886	H1604_00720	H1605_00834	H1606_00630	H1607_00631	H1608_01719	H1662_00779	H1664_00854	H1666_01313	H1668_00820	H1670_00841	H704_00678	SRR065736_00694
priA		primosome assembly protein PriA	36	36	1	1	1811				1853	1853	1853	ERR494558_00850	ERR713656_00859	ERR278423_01508	ERR083948_00496	ERR083973_01492	ERR084064_00766	ERR108372_01073	ERR128814_00266	ERR193205_01537	ERR221288_00959	ERR221374_01102	ERR278230_00924	ERR278242_00425	ERR278359_00891	ERR278461_00857	ERR343073_00592	ERR356128_00868	ERR593768_00902	H1604_00737	H1605_00852	H1606_00648	H1607_00650	H1608_01707	H1662_00795	H1664_00870	H1666_01326	H1668_00843	H1670_00858	H704_00695	SRR065736_00708
prmC		methyltransferase	36	36	1	1	1853				785	815	814	ERR494558_00888	ERR713656_00898	ERR278423_01469	ERR083948_01329	ERR083973_01530	ERR084064_00804	ERR108372_01035	ERR128814_00305	ERR193205_01577	ERR221288_00921	ERR221374_00766	ERR278230_00531	ERR278242_00465	ERR278359_00929	ERR278461_00895	ERR343073_00632	ERR356128_00965	ERR593768_00937	H1604_00776	H1605_00890	H1606_00686	H1607_00688	H1608_00619	H1662_00834	H1664_00909	H1666_00488	H1668_00882	H1670_00896	H704_00733	SRR065736_00745
