Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,OXC8500,OXC8749,OXC8885,OXC4567,OXC6332,OXC6357,OXC6453,OXC6609,OXC6729,OXC7157,OXC7004,OXC7095,OXC7345,OXC7358,OXC7452,OXC4632,OXC7664,OXC6927,H1604,H1605,H1606,H1607,H1608,H1662,H1664,H1666,H1668,H1670,H704,H22082
yeaN,,"MFS transporter, CP family, cyanate transporter",36,36,1,1,2868,,,,788,1172,1083,OXC8500_01271,OXC8749_01058,OXC8885_01342,OXC4567_01504,OXC6332_00443,OXC6357_01444,OXC6453_01519,OXC6609_00851,OXC6729_01462,OXC7157_01489,OXC7004_01257,OXC7095_00428,OXC7345_00946,OXC7358_01402,OXC7452_01472,OXC4632_01299,OXC7664_00962,OXC6927_01459,H1604_00530,H1605_01184,H1606_01300,H1607_01266,H1608_01640,H1662_01544,H1664_01458,H1666_00625,H1668_01558,H1670_01565,H704_00447,H22082_00721
ackA,,acetate kinase,36,36,1,1,1986,,,,1187,1196,1190,OXC8500_00241,OXC8749_00111,OXC8885_00896,OXC4567_00416,OXC6332_01283,OXC6357_00708,OXC6453_00464,OXC6609_00636,OXC6729_01130,OXC7157_00811,OXC7004_00744,OXC7095_01525,OXC7345_00596,OXC7358_00453,OXC7452_00411,OXC4632_01004,OXC7664_00646,OXC6927_00752,H1604_00263,H1605_00579,H1606_00466,H1607_00445,H1608_00785,H1662_00318,H1664_00797,H1666_01367,H1668_01030,H1670_00627,H704_00792,H22082_00217
group_659,,ATP-binding protein,36,36,1,1,1452,,,,554,737,727,OXC8500_00002,OXC8749_00375,OXC8885_01235,OXC4567_00901,OXC6332_01444,OXC6357_00430,OXC6453_01163,OXC6609_01351,OXC6729_00800,OXC7157_00390,OXC7004_00577,OXC7095_00883,OXC7345_00380,OXC7358_00807,OXC7452_00856,OXC4632_00744,OXC7664_00319,OXC6927_00192,H1604_00829,H1605_00806,H1606_00933,H1607_00280,H1608_00630,H1662_00378,H1664_00538,H1666_00208,H1668_00001,H1670_00978,H704_01366,H22082_01506
group_660,,FIG00469840: hypothetical protein,36,36,1,1,1449,,,,383,383,383,OXC8500_00005,OXC8749_00378,OXC8885_01232,OXC4567_00898,OXC6332_01441,OXC6357_00427,OXC6453_01160,OXC6609_01348,OXC6729_00797,OXC7157_00387,OXC7004_00574,OXC7095_00886,OXC7345_00377,OXC7358_00810,OXC7452_00859,OXC4632_00741,OXC7664_00322,OXC6927_00195,H1604_00826,H1605_00803,H1606_00930,H1607_00277,H1608_00627,H1662_00381,H1664_00535,H1666_00205,H1668_00004,H1670_00975,H704_01369,H22082_01646
hcpC,,beta-lactamase HcpE,36,36,1,1,1430,,,,704,704,704,OXC8500_00020,OXC8749_00393,OXC8885_01216,OXC4567_00884,OXC6332_01427,OXC6357_00410,OXC6453_01146,OXC6609_01331,OXC6729_00782,OXC7157_00370,OXC7004_00557,OXC7095_00900,OXC7345_00363,OXC7358_00824,OXC7452_00873,OXC4632_00727,OXC7664_00337,OXC6927_00209,H1604_00811,H1605_00788,H1606_00913,H1607_00260,H1608_00613,H1662_00396,H1664_00521,H1666_00191,H1668_00018,H1670_00960,H704_00655,H22082_00024
group_663,,ATP/GTP binding protein,36,36,1,1,1428,,,,323,2186,2134,OXC8500_00022,OXC8749_00395,OXC8885_01214,OXC4567_00882,OXC6332_01425,OXC6357_00408,OXC6453_01144,OXC6609_01329,OXC6729_00780,OXC7157_00368,OXC7004_00555,OXC7095_00902,OXC7345_00361,OXC7358_00826,OXC7452_00875,OXC4632_00725,OXC7664_00339,OXC6927_00211,H1604_00809,H1605_00786,H1606_00911,H1607_00258,H1608_00611,H1662_00398,H1664_00519,H1666_00189,H1668_00020,H1670_00958,H704_00657,H22082_00022
group_664,,FIG00469797: hypothetical protein,36,36,1,1,1414,,,,578,578,578,OXC8500_00036,OXC8749_00409,OXC8885_01200,OXC4567_00868,OXC6332_01411,OXC6357_00394,OXC6453_01130,OXC6609_01315,OXC6729_00766,OXC7157_00354,OXC7004_00541,OXC7095_00916,OXC7345_00347,OXC7358_00840,OXC7452_00889,OXC4632_00711,OXC7664_00353,OXC6927_00225,H1604_00795,H1605_00772,H1606_00896,H1607_00244,H1608_00597,H1662_00412,H1664_00505,H1666_00175,H1668_00034,H1670_00944,H704_00671,H22082_00007
cmeA,,periplasmic fusion protein CmeA,36,36,1,1,1383,,,,1103,1103,1103,OXC8500_00066,OXC8749_00439,OXC8885_01170,OXC4567_00838,OXC6332_01382,OXC6357_00364,OXC6453_01100,OXC6609_01285,OXC6729_00736,OXC7157_00324,OXC7004_00511,OXC7095_00945,OXC7345_00318,OXC7358_00869,OXC7452_00919,OXC4632_00681,OXC7664_00383,OXC6927_00255,H1604_00765,H1605_00742,H1606_00866,H1607_00214,H1608_00568,H1662_00442,H1664_00474,H1666_00145,H1668_00064,H1670_00914,H704_00701,H22082_01065
group_669,,chain-length determining protein,36,36,1,1,1379,,,,251,251,251,OXC8500_00069,OXC8749_00442,OXC8885_01167,OXC4567_00835,OXC6332_01379,OXC6357_00361,OXC6453_01097,OXC6609_01282,OXC6729_00733,OXC7157_00321,OXC7004_00508,OXC7095_00948,OXC7345_00315,OXC7358_00872,OXC7452_00922,OXC4632_00678,OXC7664_00386,OXC6927_00258,H1604_00762,H1605_00739,H1606_00863,H1607_00211,H1608_00565,H1662_00446,H1664_00471,H1666_00142,H1668_00067,H1670_00910,H704_00704,H22082_01068
trpA,,tryptophan synthase subunit alpha,36,36,1,1,1363,,,,749,749,749,OXC8500_00083,OXC8749_00456,OXC8885_01153,OXC4567_00821,OXC6332_01365,OXC6357_00347,OXC6453_01083,OXC6609_01268,OXC6729_00719,OXC7157_00307,OXC7004_00494,OXC7095_00962,OXC7345_00301,OXC7358_00886,OXC7452_00936,OXC4632_00664,OXC7664_00400,OXC6927_00272,H1604_00748,H1605_00725,H1606_00849,H1607_00197,H1608_00551,H1662_00460,H1664_00457,H1666_00128,H1668_00081,H1670_00896,H704_01082,H22082_01256
yqaA,,integral membrane protein,36,36,1,1,1356,,,,443,443,443,OXC8500_00090,OXC8749_00463,OXC8885_01146,OXC4567_00814,OXC6332_01358,OXC6357_00340,OXC6453_01073,OXC6609_01261,OXC6729_00709,OXC7157_00300,OXC7004_00487,OXC7095_00969,OXC7345_00294,OXC7358_00893,OXC7452_00946,OXC4632_00657,OXC7664_00410,OXC6927_00279,H1604_00741,H1605_00715,H1606_00842,H1607_00190,H1608_00544,H1662_00467,H1664_00447,H1666_00121,H1668_00090,H1670_00889,H704_01089,H22082_01249
group_674,,FIG00469432: hypothetical protein,36,36,1,1,1338,,,,665,1196,1181,OXC8500_00108,OXC8749_00481,OXC8885_01128,OXC4567_00796,OXC6332_01340,OXC6357_00320,OXC6453_01055,OXC6609_01241,OXC6729_00691,OXC7157_00280,OXC7004_00467,OXC7095_00987,OXC7345_00276,OXC7358_00911,OXC7452_00964,OXC4632_00639,OXC7664_00428,OXC6927_00297,H1604_00723,H1605_00697,H1606_00822,H1607_00170,H1608_00526,H1662_00485,H1664_00429,H1666_00103,H1668_00108,H1670_00871,H704_01109,H22082_00179
hisC,,histidinol-phosphate aminotransferase,36,36,1,1,1332,,,,1094,1094,1094,OXC8500_00114,OXC8749_00487,OXC8885_01122,OXC4567_00790,OXC6332_01334,OXC6357_00314,OXC6453_01049,OXC6609_01235,OXC6729_00685,OXC7157_00274,OXC7004_00461,OXC7095_00993,OXC7345_00270,OXC7358_00917,OXC7452_00970,OXC4632_00633,OXC7664_00434,OXC6927_00303,H1604_00717,H1605_00691,H1606_00816,H1607_00164,H1608_00520,H1662_00491,H1664_00423,H1666_00097,H1668_00114,H1670_00865,H704_01260,H22082_00173
lysA,,diaminopimelate decarboxylase,36,36,1,1,1329,,,,737,1208,1194,OXC8500_00117,OXC8749_00490,OXC8885_01119,OXC4567_00787,OXC6332_01331,OXC6357_00311,OXC6453_01046,OXC6609_01232,OXC6729_00682,OXC7157_00271,OXC7004_00458,OXC7095_00996,OXC7345_00267,OXC7358_00920,OXC7452_00973,OXC4632_00630,OXC7664_00437,OXC6927_00306,H1604_00714,H1605_00688,H1606_00813,H1607_00161,H1608_00517,H1662_00494,H1664_00419,H1666_00094,H1668_00117,H1670_00862,H704_01263,H22082_00170
ykkC,,quaternary ammonium compound-resistance protein SugE,36,36,1,1,1324,,,,317,338,337,OXC8500_00121,OXC8749_00494,OXC8885_01115,OXC4567_00783,OXC6332_01327,OXC6357_00307,OXC6453_01042,OXC6609_01228,OXC6729_00678,OXC7157_00267,OXC7004_00454,OXC7095_01000,OXC7345_00263,OXC7358_00924,OXC7452_00977,OXC4632_00626,OXC7664_00441,OXC6927_00310,H1604_00710,H1605_00684,H1606_00809,H1607_00157,H1608_00513,H1662_00498,H1664_00415,H1666_00090,H1668_00121,H1670_00858,H704_01267,H22082_00166
ykkD,,SMR family multidrug efflux pump,36,36,1,1,1323,,,,314,314,314,OXC8500_00122,OXC8749_00495,OXC8885_01114,OXC4567_00782,OXC6332_01326,OXC6357_00306,OXC6453_01041,OXC6609_01227,OXC6729_00677,OXC7157_00266,OXC7004_00453,OXC7095_01001,OXC7345_00262,OXC7358_00925,OXC7452_00978,OXC4632_00625,OXC7664_00442,OXC6927_00311,H1604_00709,H1605_00683,H1606_00808,H1607_00156,H1608_00512,H1662_00499,H1664_00414,H1666_00089,H1668_00122,H1670_00857,H704_01268,H22082_00165
bcp,,"Thiol peroxidase, Bcp-type",36,36,1,1,1281,,,,455,455,455,OXC8500_00158,OXC8749_00531,OXC8885_01078,OXC4567_00746,OXC6332_01295,OXC6357_00267,OXC6453_01000,OXC6609_01188,OXC6729_00643,OXC7157_00230,OXC7004_00412,OXC7095_01032,OXC7345_00231,OXC7358_00956,OXC7452_01019,OXC4632_00589,OXC7664_00476,OXC6927_00347,H1604_00673,H1605_00649,H1606_00771,H1607_00119,H1608_00481,H1662_00535,H1664_00373,H1666_00058,H1668_00158,H1670_00821,H704_01303,H22082_01155
group_683,,tautomerase,36,36,1,1,1280,,,,206,206,206,OXC8500_00159,OXC8749_00532,OXC8885_01077,OXC4567_00745,OXC6332_01294,OXC6357_00266,OXC6453_00999,OXC6609_01187,OXC6729_00642,OXC7157_00229,OXC7004_00411,OXC7095_01033,OXC7345_00230,OXC7358_00957,OXC7452_01020,OXC4632_00588,OXC7664_00477,OXC6927_00348,H1604_00672,H1605_00648,H1606_00770,H1607_00118,H1608_00480,H1662_00536,H1664_00372,H1666_00057,H1668_00159,H1670_00820,H704_01304,H22082_01154
kdsB,,3-deoxy-manno-octulosonate cytidylyltransferase,36,36,1,1,2322,,,,719,719,719,OXC8500_00167,OXC8749_01283,OXC8885_01277,OXC4567_01150,OXC6332_01554,OXC6357_01672,OXC6453_01249,OXC6609_01563,OXC6729_01012,OXC7157_01264,OXC7004_01033,OXC7095_01556,OXC7345_01413,OXC7358_00980,OXC7452_01202,OXC4632_01060,OXC7664_01690,OXC6927_00372,H1604_01433,H1605_01697,H1606_01020,H1607_00987,H1608_00224,H1662_01155,H1664_01679,H1666_01591,H1668_01090,H1670_00979,H704_01233,H22082_00455
cysS,,cysteinyl-tRNA synthetase,36,36,1,1,2309,,,,1388,1388,1388,OXC8500_00178,OXC8749_01294,OXC8885_01266,OXC4567_01139,OXC6332_01543,OXC6357_01683,OXC6453_01238,OXC6609_01574,OXC6729_01023,OXC7157_01253,OXC7004_01022,OXC7095_01567,OXC7345_01402,OXC7358_00969,OXC7452_01191,OXC4632_01071,OXC7664_01701,OXC6927_00361,H1604_01422,H1605_01708,H1606_01009,H1607_00976,H1608_00213,H1662_01144,H1664_01690,H1666_01580,H1668_01101,H1670_00990,H704_01244,H22082_00444
group_688,,"2-hydroxy-6-oxohepta-2,4-dienoate hydrolase",36,36,1,1,2302,,,,719,719,719,OXC8500_00184,OXC8749_01300,OXC8885_01260,OXC4567_01133,OXC6332_01537,OXC6357_01689,OXC6453_01232,OXC6609_01580,OXC6729_01029,OXC7157_01247,OXC7004_01016,OXC7095_01573,OXC7345_01396,OXC7358_00963,OXC7452_01185,OXC4632_01077,OXC7664_01707,OXC6927_00355,H1604_01416,H1605_01714,H1606_01003,H1607_00970,H1608_00207,H1662_01138,H1664_01697,H1666_01574,H1668_01107,H1670_00996,H704_01250,H22082_00438
hisJ,,histidine-binding protein precursor,36,36,1,1,1937,,,,512,755,748,OXC8500_00196,OXC8749_00010,OXC8885_00943,OXC4567_00371,OXC6332_01235,OXC6357_00753,OXC6453_00509,OXC6609_00591,OXC6729_01084,OXC7157_00858,OXC7004_00699,OXC7095_01477,OXC7345_00548,OXC7358_00405,OXC7452_00365,OXC4632_01049,OXC7664_00600,OXC6927_00854,H1604_00308,H1605_00624,H1606_00511,H1607_00490,H1608_00737,H1662_00363,H1664_00843,H1666_01319,H1668_01075,H1670_00582,H704_01529,H22082_01391
group_690,,type I phosphodiesterase/nucleotide pyrophosphatase,36,36,1,1,1944,,,,806,806,806,OXC8500_00201,OXC8749_00071,OXC8885_00938,OXC4567_00376,OXC6332_01242,OXC6357_00748,OXC6453_00504,OXC6609_00596,OXC6729_01089,OXC7157_00853,OXC7004_00704,OXC7095_01484,OXC7345_00555,OXC7358_00412,OXC7452_00371,OXC4632_01044,OXC7664_00605,OXC6927_00849,H1604_00303,H1605_00619,H1606_00506,H1607_00485,H1608_00744,H1662_00358,H1664_00837,H1666_01326,H1668_01070,H1670_00587,H704_01534,H22082_01396
sbp,,Putative periplasmic solute-binding protein,36,36,1,1,1946,,,,917,1046,1028,OXC8500_00203,OXC8749_00073,OXC8885_00936,OXC4567_00378,OXC6332_01246,OXC6357_00746,OXC6453_00502,OXC6609_00598,OXC6729_01091,OXC7157_00851,OXC7004_00706,OXC7095_01488,OXC7345_00559,OXC7358_00416,OXC7452_00373,OXC4632_01042,OXC7664_00607,OXC6927_00847,H1604_00301,H1605_00617,H1606_00504,H1607_00483,H1608_00748,H1662_00356,H1664_00835,H1666_01330,H1668_01068,H1670_00589,H704_01536,H22082_01398
prmC,,methyltransferase,36,36,1,1,1952,,,,785,815,814,OXC8500_00208,OXC8749_00078,OXC8885_00931,OXC4567_00383,OXC6332_01251,OXC6357_00741,OXC6453_00497,OXC6609_00603,OXC6729_01096,OXC7157_00846,OXC7004_00711,OXC7095_01493,OXC7345_00564,OXC7358_00421,OXC7452_00378,OXC4632_01037,OXC7664_00612,OXC6927_00842,H1604_00296,H1605_00612,H1606_00499,H1607_00478,H1608_00753,H1662_00351,H1664_00830,H1666_01335,H1668_01063,H1670_00594,H704_01541,H22082_01403
priA,,primosome assembly protein PriA,36,36,1,1,1993,,,,1853,1853,1853,OXC8500_00246,OXC8749_00117,OXC8885_00890,OXC4567_00422,OXC6332_00247,OXC6357_00703,OXC6453_00459,OXC6609_00641,OXC6729_01135,OXC7157_00806,OXC7004_00749,OXC7095_01038,OXC7345_00466,OXC7358_00306,OXC7452_00416,OXC4632_00999,OXC7664_00652,OXC6927_00746,H1604_00257,H1605_00574,H1606_00461,H1607_00440,H1608_01033,H1662_00312,H1664_00791,H1666_01251,H1668_01024,H1670_00632,H704_00787,H22082_00222
ydiB,,ATP/GTP binding protein,36,36,1,1,2011,,,,407,407,407,OXC8500_00263,OXC8749_00133,OXC8885_00873,OXC4567_00439,OXC6332_00259,OXC6357_00685,OXC6453_00444,OXC6609_00659,OXC6729_01154,OXC7157_00788,OXC7004_00766,OXC7095_01050,OXC7345_00478,OXC7358_00294,OXC7452_00431,OXC4632_00987,OXC7664_00671,OXC6927_00726,H1604_00240,H1605_00556,H1606_00443,H1607_00422,H1608_01045,H1662_00296,H1664_00775,H1666_01239,H1668_01002,H1670_00649,H704_01017,H22082_00292
group_696,,S4 domain-containing protein,36,36,1,1,2012,,,,284,284,284,OXC8500_00264,OXC8749_00134,OXC8885_00872,OXC4567_00440,OXC6332_00260,OXC6357_00684,OXC6453_00443,OXC6609_00660,OXC6729_01155,OXC7157_00787,OXC7004_00767,OXC7095_01051,OXC7345_00479,OXC7358_00293,OXC7452_00432,OXC4632_00986,OXC7664_00672,OXC6927_00725,H1604_00239,H1605_00555,H1606_00442,H1607_00421,H1608_01046,H1662_00295,H1664_00774,H1666_01238,H1668_01001,H1670_00650,H704_01016,H22082_00291
group_698,,FIG00469406: hypothetical protein,36,36,1,1,2029,,,,515,515,515,OXC8500_00280,OXC8749_00150,OXC8885_00855,OXC4567_00456,OXC6332_00769,OXC6357_00667,OXC6453_00427,OXC6609_00677,OXC6729_01173,OXC7157_00770,OXC7004_00784,OXC7095_01313,OXC7345_01388,OXC7358_00991,OXC7452_00448,OXC4632_00968,OXC7664_00690,OXC6927_00708,H1604_00223,H1605_00537,H1606_00425,H1607_00404,H1608_00070,H1662_00279,H1664_00756,H1666_01168,H1668_00984,H1670_00666,H704_01498,H22082_00956
group_699,,periplasmic protein,36,36,1,1,2044,,,,977,1082,1079,OXC8500_00295,OXC8749_00165,OXC8885_00840,OXC4567_00471,OXC6332_00784,OXC6357_00652,OXC6453_00412,OXC6609_00692,OXC6729_01188,OXC7157_00755,OXC7004_00799,OXC7095_01298,OXC7345_01373,OXC7358_01006,OXC7452_00463,OXC4632_00953,OXC7664_00705,OXC6927_00693,H1604_00208,H1605_00522,H1606_00410,H1607_00705,H1608_00085,H1662_00264,H1664_00741,H1666_01153,H1668_00969,H1670_00681,H704_01483,H22082_00971
group_700,,DNA polymerase III subunit delta,36,36,1,1,2047,,,,965,965,965,OXC8500_00298,OXC8749_00168,OXC8885_00837,OXC4567_00474,OXC6332_00787,OXC6357_00649,OXC6453_00409,OXC6609_00695,OXC6729_01191,OXC7157_00752,OXC7004_00802,OXC7095_01295,OXC7345_01370,OXC7358_01009,OXC7452_00466,OXC4632_00950,OXC7664_00708,OXC6927_00690,H1604_00205,H1605_00519,H1606_00407,H1607_00702,H1608_00088,H1662_00261,H1664_00738,H1666_01150,H1668_00966,H1670_00684,H704_01480,H22082_00974
hypA,,hydrogenase nickel insertion protein HypA,36,36,1,1,2050,,,,344,344,344,OXC8500_00300,OXC8749_00170,OXC8885_00060,OXC4567_00476,OXC6332_00788,OXC6357_00648,OXC6453_00407,OXC6609_00696,OXC6729_01194,OXC7157_00751,OXC7004_00803,OXC7095_01294,OXC7345_01369,OXC7358_01010,OXC7452_00468,OXC4632_00947,OXC7664_00711,OXC6927_00687,H1604_01032,H1605_00516,H1606_00406,H1607_00701,H1608_00089,H1662_00259,H1664_00736,H1666_01149,H1668_00964,H1670_00686,H704_00646,H22082_01512
hypB,,[NiFe] hydrogenase nickel incorporation-associated protein HypB,36,36,1,1,2054,,,,743,743,743,OXC8500_00304,OXC8749_00174,OXC8885_00064,OXC4567_00480,OXC6332_00792,OXC6357_00644,OXC6453_00403,OXC6609_00700,OXC6729_01198,OXC7157_00747,OXC7004_00807,OXC7095_01290,OXC7345_01365,OXC7358_01014,OXC7452_00472,OXC4632_00943,OXC7664_00715,OXC6927_00683,H1604_01028,H1605_00512,H1606_00402,H1607_00697,H1608_00093,H1662_00255,H1664_00732,H1666_01145,H1668_00960,H1670_00690,H704_00642,H22082_01516
hypF,,[NiFe] hydrogenase maturation protein HypF,36,36,1,1,2055,,,,2186,2189,2188,OXC8500_00305,OXC8749_00175,OXC8885_00065,OXC4567_00481,OXC6332_00793,OXC6357_00643,OXC6453_00402,OXC6609_00701,OXC6729_01199,OXC7157_00746,OXC7004_00808,OXC7095_01289,OXC7345_01364,OXC7358_01015,OXC7452_00473,OXC4632_00942,OXC7664_00716,OXC6927_00682,H1604_01027,H1605_00511,H1606_00401,H1607_00696,H1608_00094,H1662_00254,H1664_00731,H1666_01144,H1668_00959,H1670_00691,H704_00641,H22082_01517
group_704,,periplasmic protein,36,36,1,1,2068,,,,1010,1010,1010,OXC8500_00317,OXC8749_00187,OXC8885_00076,OXC4567_00493,OXC6332_00803,OXC6357_00632,OXC6453_00390,OXC6609_01460,OXC6729_01210,OXC7157_00734,OXC7004_00819,OXC7095_01279,OXC7345_01354,OXC7358_01025,OXC7452_00484,OXC4632_00931,OXC7664_00728,OXC6927_00671,H1604_01015,H1605_00500,H1606_00390,H1607_00685,H1608_00104,H1662_00242,H1664_00719,H1666_01134,H1668_00948,H1670_00703,H704_00168,H22082_01295
group_707,,1-aminocyclopropane-1-carboxylate deaminase,36,36,1,1,2079,,,,686,875,869,OXC8500_00327,OXC8749_00198,OXC8885_00087,OXC4567_00503,OXC6332_00814,OXC6357_00622,OXC6453_00380,OXC6609_01450,OXC6729_01220,OXC7157_00724,OXC7004_00829,OXC7095_01268,OXC7345_01343,OXC7358_01036,OXC7452_00494,OXC4632_00921,OXC7664_00738,OXC6927_00661,H1604_01005,H1605_00490,H1606_00380,H1607_00675,H1608_00116,H1662_00231,H1664_00709,H1666_01123,H1668_00938,H1670_00714,H704_00158,H22082_01489
nucA,,DNA/RNA non-specific endonuclease,36,36,1,1,2085,,,,623,650,645,OXC8500_00333,OXC8749_00204,OXC8885_00093,OXC4567_00509,OXC6332_00820,OXC6357_00616,OXC6453_00374,OXC6609_01444,OXC6729_01226,OXC7157_00718,OXC7004_00835,OXC7095_01262,OXC7345_01337,OXC7358_01042,OXC7452_00500,OXC4632_00915,OXC7664_00744,OXC6927_00655,H1604_00999,H1605_00484,H1606_00374,H1607_00669,H1608_00122,H1662_00225,H1664_00703,H1666_01117,H1668_00932,H1670_00720,H704_01116,H22082_01483
folP,,dihydropteroate synthase,36,36,1,1,2094,,,,833,1142,1133,OXC8500_00342,OXC8749_00213,OXC8885_00102,OXC4567_00518,OXC6332_00829,OXC6357_00607,OXC6453_00365,OXC6609_01435,OXC6729_01235,OXC7157_00709,OXC7004_00844,OXC7095_01253,OXC7345_01328,OXC7358_01051,OXC7452_00509,OXC4632_00906,OXC7664_00753,OXC6927_00646,H1604_00990,H1605_00475,H1606_00365,H1607_00660,H1608_00131,H1662_00216,H1664_00694,H1666_01108,H1668_00923,H1670_00729,H704_01125,H22082_01474
group_711,,DNA polymerase III subunit delta',36,36,1,1,2095,,,,599,1142,614,OXC8500_00343,OXC8749_00214,OXC8885_00103,OXC4567_00519,OXC6332_00830,OXC6357_00606,OXC6453_00364,OXC6609_01434,OXC6729_01236,OXC7157_00708,OXC7004_00845,OXC7095_01252,OXC7345_01327,OXC7358_01052,OXC7452_00510,OXC4632_00905,OXC7664_00754,OXC6927_00645,H1604_00989,H1605_00474,H1606_00364,H1607_00659,H1608_00132,H1662_00215,H1664_00693,H1666_01106,H1668_00922,H1670_00730,H704_01126,H22082_01473
tatB,,sec-independent translocase,36,36,1,1,2100,,,,407,416,412,OXC8500_00348,OXC8749_00219,OXC8885_00108,OXC4567_00524,OXC6332_00835,OXC6357_00601,OXC6453_00359,OXC6609_01429,OXC6729_01241,OXC7157_00703,OXC7004_00850,OXC7095_01247,OXC7345_01322,OXC7358_01057,OXC7452_00515,OXC4632_00900,OXC7664_00759,OXC6927_00640,H1604_00984,H1605_00469,H1606_00359,H1607_00654,H1608_00136,H1662_00210,H1664_00688,H1666_01101,H1668_00917,H1670_00735,H704_01131,H22082_01468
queA,,S-adenosylmethionine--tRNA ribosyltransferase-isomerase,36,36,1,1,2102,,,,1028,1028,1028,OXC8500_00350,OXC8749_00221,OXC8885_00110,OXC4567_00526,OXC6332_00837,OXC6357_00599,OXC6453_00357,OXC6609_01427,OXC6729_01243,OXC7157_00701,OXC7004_00852,OXC7095_01245,OXC7345_01320,OXC7358_01059,OXC7452_00517,OXC4632_00898,OXC7664_00761,OXC6927_00638,H1604_00982,H1605_00467,H1606_00357,H1607_00652,H1608_00138,H1662_00208,H1664_00686,H1666_01099,H1668_00915,H1670_00737,H704_01133,H22082_01466
proA,,gamma-glutamyl phosphate reductase,36,36,1,1,2139,,,,383,1232,1208,OXC8500_00371,OXC8749_00242,OXC8885_00132,OXC4567_00547,OXC6332_00851,OXC6357_00578,OXC6453_00334,OXC6609_01406,OXC6729_01262,OXC7157_00681,OXC7004_00873,OXC7095_01231,OXC7345_01306,OXC7358_01073,OXC7452_00540,OXC4632_00877,OXC7664_00780,OXC6927_00616,H1604_00960,H1605_00448,H1606_00337,H1607_00632,H1608_00152,H1662_00187,H1664_00663,H1666_01085,H1668_00893,H1670_00759,H704_01520,H22082_00131
group_718,,amidohydrolase,36,36,1,1,2141,,,,797,797,797,OXC8500_00374,OXC8749_00245,OXC8885_00134,OXC4567_00550,OXC6332_00853,OXC6357_00576,OXC6453_00332,OXC6609_01404,OXC6729_01264,OXC7157_00679,OXC7004_00875,OXC7095_01229,OXC7345_01304,OXC7358_01075,OXC7452_00542,OXC4632_00875,OXC7664_00782,OXC6927_00614,H1604_00958,H1605_00445,H1606_00335,H1607_00630,H1608_00154,H1662_00184,H1664_00661,H1666_01083,H1668_00890,H1670_00762,H704_01518,H22082_00129
ubiD,,UbiD family decarboxylase associated with menaquinone via futalosine,36,36,1,1,2151,,,,1613,1802,1796,OXC8500_00384,OXC8749_00255,OXC8885_00144,OXC4567_00560,OXC6332_00864,OXC6357_00565,OXC6453_00321,OXC6609_01393,OXC6729_01276,OXC7157_00668,OXC7004_00886,OXC7095_01218,OXC7345_01293,OXC7358_01086,OXC7452_00553,OXC4632_00864,OXC7664_00794,OXC6927_00603,H1604_00947,H1605_00434,H1606_00324,H1607_00619,H1608_00165,H1662_00173,H1664_00650,H1666_01072,H1668_00879,H1670_00773,H704_01507,H22082_00935
hemA,,glutamyl-tRNA reductase,36,36,1,1,2155,,,,1265,1298,1297,OXC8500_00388,OXC8749_00259,OXC8885_00148,OXC4567_00564,OXC6332_00868,OXC6357_00561,OXC6453_00317,OXC6609_01389,OXC6729_01280,OXC7157_00664,OXC7004_00890,OXC7095_01214,OXC7345_01289,OXC7358_01090,OXC7452_00557,OXC4632_00860,OXC7664_00798,OXC6927_00599,H1604_00943,H1605_00430,H1606_00320,H1607_00615,H1608_00169,H1662_00169,H1664_00646,H1666_01068,H1668_00875,H1670_00777,H704_00896,H22082_00931
mdh,,malate dehydrogenase,36,36,1,1,2165,,,,677,902,895,OXC8500_00398,OXC8749_00269,OXC8885_00158,OXC4567_00574,OXC6332_00878,OXC6357_00551,OXC6453_00307,OXC6609_01379,OXC6729_01290,OXC7157_00654,OXC7004_00900,OXC7095_01204,OXC7345_01279,OXC7358_01100,OXC7452_00567,OXC4632_00850,OXC7664_00808,OXC6927_00589,H1604_00933,H1605_00420,H1606_00310,H1607_00605,H1608_00179,H1662_00159,H1664_00636,H1666_01058,H1668_00865,H1670_00787,H704_00906,H22082_00921
group_726,,membrane protein,36,36,1,1,2177,,,,434,434,434,OXC8500_00410,OXC8749_00281,OXC8885_00169,OXC4567_00586,OXC6332_00887,OXC6357_00542,OXC6453_00297,OXC6609_01370,OXC6729_01299,OXC7157_00645,OXC7004_00909,OXC7095_01195,OXC7345_01270,OXC7358_01109,OXC7452_00577,OXC4632_00839,OXC7664_00817,OXC6927_00578,H1604_00921,H1605_00411,H1606_00300,H1607_00596,H1608_00188,H1662_00147,H1664_00627,H1666_01049,H1668_00854,H1670_00800,H704_00917,H22082_00910
selU,,tRNA 2-selenouridine synthase,36,36,1,1,2196,,,,998,1004,999,OXC8500_00429,OXC8749_00300,OXC8885_00188,OXC4567_00605,OXC6332_01225,OXC6357_01107,OXC6453_00278,OXC6609_00361,OXC6729_01319,OXC7157_00626,OXC7004_00405,OXC7095_01115,OXC7345_01252,OXC7358_00615,OXC7452_00596,OXC4632_00820,OXC7664_00837,OXC6927_00559,H1604_00902,H1605_00391,H1606_00281,H1607_00577,H1608_00063,H1662_00128,H1664_00608,H1666_01252,H1668_00835,H1670_00437,H704_00710,H22082_00228
