	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
lgt	450.3	450.3	450.3	449.4	450.3	450.3	450.3	449.8	450.3	450.3	449.4	449.4	449.4	450.3	448.8	449.8	448.8	450.3	450.3	449.8	450.3	450.3	449.4	450.3	450.3	449.4	448.8	450.3	450.3	450.3
group_1164						170.7								170.7					171.2						170.7				171.2	171.2
cmoA	364.3	364.3	364.3	363.3	364.3	364.3	364.3	355.6	364.3	364.3	363.3	363.3	363.3	364.3	364.3	355.6	364.3	364.3	364.3	355.6	364.3	364.3	363.3	364.3	364.3	363.3	364.3	362.6	364.6	364.6
hisG	105.3	105.3	105.3	106.9	105.3	104.1	105.3	105.3	105.3	105.3	105.0	105.0	106.9	104.1	106.0	105.3	106.0	105.3	105.3	105.3	105.3	105.3	105.0	105.3	102.3	105.0	106.0	105.3	105.3	105.3
group_281	198.0	198.0	198.0	337.0	337.4	333.8	337.4	336.5	337.4	337.4	337.0	337.0	337.0	333.8	338.4	336.5	338.4	198.0	333.3	336.5	337.4	337.4	337.0	198.0	307.2	337.0	338.4	198.0	333.3	333.3
slt	574.3	574.3	574.3	576.2	574.3	574.0	574.3	573.4	574.3	574.3	576.2	576.2	576.2	574.0	574.3	573.4	574.3	574.3	574.3	573.4	574.3	574.3	576.2	574.3	574.0	576.2	574.3	574.3	574.3	574.3
pgsA	283.3	283.3	283.3	283.5	283.3	283.5	283.3	283.3	283.3	283.3	283.5	283.5	283.5	283.5	283.3	283.3	283.5	283.3	283.3	283.3	283.3	283.3	283.5	283.3	283.5	283.5	283.5	283.3	283.3	283.5
group_416	177.1	177.1	177.1	237.3	238.8	238.8	238.8		238.8	238.8	237.3	237.3	237.3	238.8	238.8		238.8	177.1	237.5	238.8	238.8	238.8	237.3	177.1	238.8	237.3	177.1	177.1	238.8	238.8
ftsY	471.8	471.8	471.8	471.0	470.8	471.5	470.8	472.6	470.8	470.8	471.0	471.0	471.0	471.5	469.9	472.6	469.9	471.8	471.2	472.6	470.8	470.8	471.0	471.8	471.5	471.0	471.5	471.8	471.5	471.5
cysS	644.9	644.9	644.9	641.8	642.5	645.4	642.5	644.6	642.5	642.5	642.1	642.1	641.8	645.4	644.9	644.6	644.9	644.9	645.0	644.6	642.5	642.5	642.1	644.9	642.9	642.1	644.9	644.9	645.4	645.4
kpsM	431.5	431.5	431.5		435.1	433.4	435.1	432.7	435.1	435.1				433.4	431.5	432.7	431.5	431.5	435.3	432.7	435.1	435.1		431.5	433.4		431.5	431.5	435.3	435.3
hipO	740.2	740.2	740.2	741.5	740.9	741.5	740.9	742.7	740.9	740.9	741.5	741.5	741.5	741.5	742.7	742.7	742.7	740.2	742.7	740.3	740.9	740.9	741.5	740.2	741.5	741.5	742.7	740.2	742.7	742.7
hslU	788.6	788.6	788.6	787.6	788.1	788.1	788.1	788.1	788.1	788.1	787.6	787.6	787.6	788.1	787.6	788.1	787.6	788.6	788.6	788.1	788.0	788.1	787.6	788.6	788.1	787.6	788.1	788.6	788.6	788.6
truB	417.7	417.7	417.7	417.3	418.1	419.5	418.1	418.1	418.1	418.1	417.3	417.3	417.3	419.5	419.8	418.1	419.8	417.7	419.5	418.1	418.1	418.1	417.3	417.7	419.5	417.3	419.5	417.7	419.5	419.5
nspC	624.1	624.1	624.1	628.3	628.7	624.8	628.7	629.1	629.7	628.7	628.3	628.3	628.3	624.8	626.2	629.1	626.2	624.1	626.2	629.1	629.7	629.7	628.3	624.1	624.8	628.3	626.2	624.1	626.2	626.2
hemH	447.0	447.0	447.0	450.0	447.0	443.9	447.0	446.9	447.0	447.0	450.0	450.0	450.0	443.9	443.9	446.9	443.9	447.0	447.0	446.9	447.0	447.0	450.0	447.0	443.9	450.0	443.9	447.0	447.0	447.0
group_1419	100.5	100.5	100.5	102.4	96.8	94.0	96.8	96.4	96.8	96.8	102.4	102.4	102.4	94.0	96.3	96.5	96.3	100.5	97.7	96.5	96.8	96.8	102.4	100.5	94.0	102.4	96.3	100.5	97.7	97.7
rplM	266.7	266.7	266.7	266.2	266.7	266.9	266.7	266.7	266.7	266.7	266.2	266.2	266.2	266.9	266.7	266.7	266.7	266.7	266.7	266.7	266.7	266.7	266.2	266.7	266.9	266.2	266.7	266.7	266.7	266.7
group_3017	972.2	972.2	972.2	972.4	974.8	971.9	974.8	973.6	974.8	974.8	972.4	972.4	972.4	971.9	973.6	973.6	971.9	972.2	975.1	973.6	974.8	974.8	972.4	972.2	971.9	972.4	973.6	972.2	975.1	975.1
fliY_1	383.1	383.1	383.1	384.5	385.3	384.0	385.3	385.0	385.3	385.3	384.5	384.5	384.5	384.0	384.0	385.0	384.0	383.1	384.0	385.0	385.3	385.3	384.5	383.1	385.3	384.5	385.3	383.1	384.0	384.0
yidD	144.4	144.4	144.4	144.8	143.5	143.5	143.5	144.5	143.5	143.5	144.8	144.8	144.8	143.5	144.5	144.5	144.5		144.7	144.5	143.5	143.5	144.8	144.4	143.5	144.8	144.5	144.4	144.7	144.7
rpsO	162.0	162.0	162.0	162.0	160.0	162.0	160.0	162.0	160.0	160.0	162.0	162.0	162.0	162.0	162.0	162.0	162.0	162.0	162.0	162.0	160.0	160.0	162.0	162.0	162.0	162.0	162.0	162.0	162.0	162.0
sstT	599.9	599.9	599.9	599.0	597.9	599.7	597.9	596.0	597.9	597.9	599.0	599.0	599.0	599.7	596.0	596.0	596.0	599.9	596.0	596.0	597.9	597.9	599.0	599.9	599.7	599.0	596.0	599.9	596.0	596.0
nudK	156.5	156.5	156.5	157.3	156.5	156.5	156.5	156.5	156.5	156.5	157.3	131.5	157.3	156.5	156.5	156.5	156.5	156.5	156.5	156.5	156.5	156.5	157.3	156.5	156.5	157.3	156.5	156.5	156.5	156.5
flgG_1	411.3	411.3	411.3	411.4	411.2	409.6	411.2	413.7	411.2	411.2	411.4	411.4	411.4	409.6	410.9	413.7	411.3	411.3	412.2	413.7	411.2	411.2	411.4	411.3	409.6	410.2	411.3	411.3	412.2	412.2
group_348	18.9	18.9	18.9	16.8							16.8	16.8	16.8	19.1	19.0		19.0	18.9	19.0				16.8	18.9	19.1	16.8	19.0	18.9		19.0
frdC	435.7	435.7	435.7	434.2	435.7	435.7	435.7	435.7	435.7	435.7	434.2	434.2	434.2	435.7	435.7	435.7	435.7	435.7	435.7	435.7	435.7	435.7	434.2	435.7	435.7	434.2	435.7	435.7	435.7	435.7
racS	479.8	479.8	479.8	479.8	482.0	480.8	482.0	481.3	482.0	482.0	479.8	479.8	479.8	480.8	482.0	481.3	476.6	479.8	482.0	481.3	482.0	482.0	479.8	384.2	480.8	479.8	480.8	479.8	482.0	482.0
panD	179.8	179.8	179.8		181.2	179.8	179.8	180.6		180.9				179.8	179.8	180.6	179.8	179.8	179.8	180.6				179.8	179.3		179.8	179.8	179.8	179.8
group_938	140.0	140.0	140.0	141.1	143.2	143.2	143.2	142.5	143.2	143.2	141.1	141.1	141.1	143.2	140.0	142.5	140.0	140.0	142.5	142.5	143.2	143.2	141.1	140.0	143.2	141.1	140.0	140.0	142.5	142.5
yoaE	144.5	144.5	144.5	145.0	144.5	145.8	144.5	144.5	144.5	144.5	145.0	145.0	145.0	145.8	144.5	144.5	144.5	144.5	144.5	144.5	144.5	144.5	145.0	144.5	145.8	145.0	144.5	144.5	144.5	144.5
group_1395	99.8	99.8	99.8	99.6	99.3	99.8	99.3	99.3	99.3	99.3	99.6	99.6	99.6	99.8	99.8	99.3	99.8	99.8	99.8	99.3	99.3	99.3	99.6	99.8	99.8	99.6	99.8	99.8	99.8	99.8
thiC	525.6	525.6	525.6	524.2	521.7	523.3	521.7	524.0	521.7	521.7	521.0	524.2	524.2	523.3	525.6	524.0	525.6	525.6	523.3	524.0	521.7	521.7	521.3	525.6	523.3	521.3	525.6	525.6	523.3	523.3
iamB	495.4	495.4	495.4	490.8	495.9	493.6	495.9	496.1	495.9	495.9	490.8	490.8	490.8	492.6	496.4	496.1	496.4	495.4	493.6	496.1	495.9	495.9	490.8	495.4	493.6	490.8	496.4	495.4	493.6	493.6
group_933	375.5	375.5	375.5	375.7	372.8	376.4	372.8	372.5	372.8	372.8	375.7	375.7	375.7	376.4	376.0	372.5	376.0	375.5	376.0	372.5	372.8	372.8	375.7	375.5	376.4	375.7	375.5	375.5	376.0	376.0
pyrC2	514.4	514.4	514.4	513.0	510.8	513.9	510.8	512.3	510.8	510.8	513.0	513.0	513.0	513.9	513.9	512.3	512.8	514.4	513.9	512.3	510.8	510.8	513.0	514.4	513.9	513.0	513.9	514.4	513.9	509.6
apt	304.4	304.4	304.4	304.5	304.2	303.5	304.2	304.2	302.9	304.2	304.5	304.5	304.5	303.5	304.4	304.2	304.4	304.4	304.4	304.2	304.2	304.2	304.5	304.4	303.5	304.5	304.4	304.4	304.4	304.4
group_1427	175.2	175.2	175.2	175.2	170.0	173.5	170.0	175.2	170.0	170.0	175.2	175.2	175.2	173.5	175.2	175.2	175.2	175.2	167.4	175.2	170.0	170.0	175.2	175.2	173.5	175.2	175.2	175.2	167.4	167.4
moeB_1	295.9	295.9	295.9	294.2	295.9	295.2	295.9		295.8	293.2	294.2	294.2	294.2	295.2	295.9		295.9	295.9	295.9		295.8	295.8	294.2	295.9	295.2	294.2	295.9	295.9	295.9	295.9
queC	355.2	355.2	355.2	353.4	355.2	355.2	352.5	355.2	352.5	352.5	353.4	353.4	353.4	352.5	355.2	355.2	355.2	355.2	355.2	355.2	352.5	352.5	353.4	355.2	355.2	353.4	355.2	355.2	355.2	355.2
group_1799	1425.7	1425.7	1425.7	1427.7	1424.6	1428.5	1424.6		1424.6	1424.6	1427.7	1427.7	1427.7	1428.5	1428.3		1428.3	1425.7	1425.1		1424.6	1424.6	1427.7	1425.7	1428.5	1427.7	1428.3	1425.7	1425.1	1425.1
flgC	301.4	301.4	301.4	301.4	301.1	301.4	301.1	301.1	301.1	301.1	301.4	301.4	301.4	301.4	300.3	301.1	300.3	301.4	300.3	301.1	301.1	301.1	301.4	301.4	301.4	301.4	300.3	301.4	301.4	300.3
yicG	67.7	67.7	67.7	68.8	67.7	67.7	67.7	67.7	67.7	67.7	68.8	68.8	68.8	67.6	67.7	67.7	67.7	67.7	67.7	67.7	67.7	67.7	68.8	67.7	67.7	68.8	67.7	67.7	67.7	67.7
prfB	700.5	700.5	700.5	700.9	700.6	700.5	700.6	700.7	700.6	700.6	700.9	700.9	700.9	700.5	700.5	700.7	700.5	700.5	698.7	700.7	700.6	700.6	700.9	700.5	700.5	700.9	700.5	700.5	698.7	698.7
group_1064	211.9	211.9	211.9	210.9	214.5	212.1	214.5	212.1	214.5	214.5	210.9	210.9	210.9	212.1	211.9	212.1	211.9	211.9	214.5	212.1	214.5	214.5	210.9	211.9	212.1	210.9	211.9	211.9	214.5	214.5
mco	962.5	962.5	962.5	963.3	963.9	960.6	963.9	963.8	960.2	963.9	963.3	963.3	963.3	960.6	958.0	963.8	961.9	962.5	960.9	963.8	960.2	960.2	963.3	962.5	960.6	963.3	960.9	962.5	962.5	962.5
group_1529	330.3	330.3	330.3	333.2	331.8	331.6	331.8		331.8	331.8	333.2	333.2	333.2	331.6	332.3		332.3	330.3	330.7		331.8	331.8	333.2	330.3	331.6	333.2	332.3	330.3	330.7	330.7
dltA	1084.4	1084.5	1084.5		1081.5	1087.9	1081.5	1082.1	1082.1	1081.5				1088.6	1088.6	1082.1	1088.6	1084.5	1084.9	1082.1	1082.1	1082.1		1084.5	1086.2		1088.6	1084.5	1084.5	1084.5
kdtA	240.1	240.1	240.1	238.2	241.9	238.9	241.9	237.4	241.9	241.9	238.2	238.2	238.2	238.9	240.1	237.4	240.1	240.1	239.2	237.4	241.9	241.9	238.2	240.1	238.9	238.2	240.1	240.1	239.2	239.2
group_3291	215.8	215.8	215.8	214.2	215.8	214.5	215.8	215.8	215.8	215.8	214.2	214.2	214.2	214.5	215.8	215.8	215.8	215.8	215.8	215.8	215.8	215.8	214.2	215.8	214.5	214.2	215.8	215.8	215.8	215.8
group_2910	263.8	263.8	263.8	263.0	263.0	260.9	263.0	260.9	263.0	263.0	263.0	263.0	263.0	260.9	263.8	260.9	263.8	263.8	263.0	260.9	263.0	263.0	263.0	263.8	260.9	263.0	263.8	263.8	263.0	263.0
rpsG	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2	308.2
cgpA	219.7	219.7	219.7	219.2	219.7	219.3	219.7	219.7	219.7	219.7	219.2	219.2	219.2	219.3	219.7	219.7	219.7	219.7	219.7	219.7	219.7	219.7	219.2	219.7	219.3	219.2	219.7	219.7	219.7	219.7
lpxK	445.5	445.5	445.5	443.0	442.6	443.2	442.6	441.3	442.6	442.6	443.0	443.0	443.0	443.2	445.5	441.3	445.5	445.5	445.5	441.3	442.6	442.6	443.0	445.5	399.7	443.0	445.5	445.5	445.5	445.5
group_2715	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2	127.2
rplS	221.5	221.5	221.5	221.4	221.5	221.4	221.5	221.5	221.5	221.5	221.4	221.4	221.4	221.4	221.5	221.5	221.5	221.5	221.5	221.5	221.5	221.5	221.4	221.5	221.4	221.4	221.5	221.5	221.5	221.5
plsC	333.2	333.2	333.2	332.7	332.3	331.6	332.3	332.3	332.3	332.3	332.7	332.7	332.7	331.6	333.2	332.3	333.2	333.2	333.2	332.3	332.3	332.3	332.7	333.2	331.6	332.7	333.2	333.2	333.2	333.2
rfbC				270.6		269.1					270.6	270.6	270.6	269.1					270.6				270.6		269.1	270.6			270.7	270.7
tyrA	452.3	452.3	452.3	451.5	451.7	452.3	451.7	450.1	451.7	451.7	451.5	451.5	451.5	452.3	452.3	450.1	452.3	452.3	452.3	450.1	451.7	451.7	451.5	452.3	452.3	451.5	452.3	452.3	452.3	452.3
mraY	606.8	606.8	606.8	609.7	609.7	608.9	609.7	606.8	609.7	609.7	609.7	609.7	609.7	608.9	606.8	606.8	606.8	606.8	609.7	606.8	609.7	609.7	609.7	606.8	608.9	609.7	606.8	606.8	609.7	609.7
rhmT_1	33.0	33.0	33.0		38.7		38.7	38.6	38.7	38.7					34.6	38.6	35.7	33.0	37.6	38.6	35.5	35.5		33.0			35.7	32.2	37.6	37.6
kdsC	245.1	245.1	245.1	244.9	243.6	244.3	243.6	243.6	243.6	243.6	244.9	244.9	244.9	244.3	245.1	243.6	245.1	245.1	244.1	244.6	243.6	243.6	244.9	245.1	244.3	244.9	245.1	245.1	244.1	244.1
carA	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3	660.3
polA	1387.8	1387.8	1387.8	1388.7	1389.4	1388.9	1389.4	1390.8	1389.4	1389.4	1388.7	1388.7	1388.7	1388.9	1387.8	1390.8	1387.8	1386.4	1386.5	1390.8	1389.4	1389.4	1388.7	1387.8	1388.9	1388.7	1387.8	1385.5	1389.1	1389.1
hisS	637.7	637.7	637.7		636.8		636.8	637.7	636.8	636.8					637.7	637.7	637.7	637.7	637.7	634.5	636.8	636.8		637.7			637.7	637.7	637.7	637.7
group_537	838.2	838.2	838.2	838.7	834.3	837.7	834.3	835.9	834.3	834.3	838.7	838.7	838.7	837.7	837.7	835.9	837.7	838.2	372.8	835.9	834.3	834.3	838.7	838.2	836.4	838.7	837.7	328.9	838.2	837.7
yqgF	176.7	176.7	176.7	176.7	179.1	176.7	179.1	176.4	179.1	179.1	176.7	176.7	176.7	176.7	174.5	176.4	174.5	176.7	174.5	176.4	179.1	179.1	176.7	176.7	176.7	176.7	174.5	176.7	174.5	174.5
ung	382.3	382.3	382.3	382.7	382.3	380.4	382.3	382.0	382.3	382.3	382.7	382.7	382.7	380.4	382.3	382.0	382.3	382.3	380.9	382.0	382.3	382.3	382.7	382.3	378.5	382.7	382.3	382.3	380.9	380.4
group_1261	400.4	400.4	400.4	400.8	400.8	400.8	400.8	400.8	400.8	400.8	400.8	400.8	400.8	400.8	378.4	400.8	378.4	400.4	400.8	400.8	400.8	400.8	400.8	400.4	400.8	400.8	378.4	400.4	400.8	400.8
yiiM	220.8	220.8	220.8	220.0	219.3	220.8	219.3	220.8	219.3	219.3	220.0	220.0	220.0	220.8	219.1	220.8	220.8	220.8	219.7	220.8	219.3	219.3	220.0	220.8	220.8	220.0	220.8	220.8	219.7	219.7
group_431				111.4		226.8					115.0	115.0											115.0		226.8	115.0			226.8	226.8
bdlA_1	306.0	306.0	306.0	304.9	306.0	305.1	306.0	306.0	306.0	306.0	302.4	304.9	304.9	305.7	306.0	306.0	306.0	306.0	306.0	306.0	306.0	306.0	304.9	306.0	305.7	304.9	306.0	306.0	306.0	306.0
pglJ	496.5	496.5	496.5	494.6	494.7	497.3	494.7	494.4	494.7	494.7	494.6	494.6	494.6	497.3	497.3	494.4	497.3	496.5	497.3	494.4	494.7	494.7	494.6	496.5	497.3	494.6	497.3	496.5	497.3	497.3
ftsH_2	1219.0	1219.0	1219.0	1219.5	1219.3	1219.3	1219.3	1220.0	1219.3	1219.3	1219.5	1219.5	1219.5	1219.3	1220.1	1220.0	1220.1	1219.0	1220.2	1217.6	1219.3	1219.3	1219.5	1219.0	1219.3	1219.5	1220.1	1219.0	1220.2	1220.2
ddl	572.1	572.1	572.1	568.8	570.3	570.9	570.3	571.7	570.3	570.3	568.8	568.8	568.8	570.9	572.1	571.7	572.1	572.1	572.1	571.7	570.3	570.3	568.8	572.1	570.9	568.8	572.1	572.1	572.1	572.1
ackA	636.8	636.8	636.8	633.9	635.2	634.9	635.2	633.6	635.2	635.2	633.9	633.9	633.9	634.9	634.9	633.6	634.9	636.8	634.9	633.6	635.2	635.2	633.9	636.8	634.9	633.9	634.9	631.9	634.9	634.9
group_824	10.9	10.9	10.9			10.9									10.9		10.9	10.9	10.9					10.9			10.9	10.9	10.9	10.9
group_3016	270.2	270.2	270.2	268.2	267.8	269.9	267.8	270.2	267.8	267.8	268.2	268.2	268.2	269.9	270.2	270.2	270.2	270.2	270.2	270.2	267.8	267.8	268.2	270.2	269.9	268.2	270.2	270.2	270.2	270.2
ruvA	246.5	246.5	246.5	249.0	247.5	247.6	247.5	247.9	247.5	247.5	249.0	249.0	249.0	247.6	246.5	247.9	246.5	246.5	246.6	247.9	247.5	247.5	249.0	246.5	247.6	249.0	246.5	246.5	246.6	246.6
tenA	414.3	414.3	413.5	415.6	414.5	415.4	414.5	414.3	414.5	414.5	415.6	415.6	415.6	415.4	414.3	414.3	414.3	414.3	415.6	414.3	414.5	414.5	415.6	414.3	415.4	415.6	414.3	414.3	415.6	415.6
frdA	955.2	955.2	955.2	954.2	954.2	955.6	954.2	954.2	953.2	954.2	954.2	954.2	954.2	955.6	955.2	954.2	955.2	955.2	955.2	949.0	954.2	954.2	954.2	955.2	951.1	954.2	955.2	955.2	955.2	955.2
yrdA	318.1	318.1	318.1	317.4	318.1	318.1	318.1	313.1	318.1	318.1	317.4	317.4	317.4	318.1	318.1	313.1	318.1	318.1	318.1	313.1	318.1	318.1	317.4	318.1	318.1	317.4	318.1	318.1	317.2	318.1
hydB	1081.2	1081.2	1081.2	1080.3	1082.3	1081.9	1082.3	1080.0	1082.3	1082.3	1080.3	1080.3	1080.3	1081.9	1081.3	1080.0	1081.3	1081.2	1079.7	1080.0	1082.3	1082.3	1080.3	558.4		1080.3	1081.3	1081.2	1079.7	1079.7
group_3120	735.1	735.1	735.1	735.1	734.8	735.1	734.8	732.9	735.1	734.8	735.1	735.1	735.1	735.1	735.1	732.9	735.1	735.1	735.1	732.9	734.8	734.8	735.1	735.1	735.1	735.1	735.1	735.1	735.1	735.1
group_2619																			44.2										44.2	44.2
mviN	525.2	525.2	525.2	523.1	524.5	525.1	524.5	524.9	524.8	524.5	523.1	523.1	523.1	525.1	525.2	524.9	525.2	525.2	525.2	524.9	524.5	524.5	523.1	525.2	525.1	523.1	525.2	525.2	525.2	525.2
mog	327.8	327.8	327.8	327.8	327.8	327.5	327.8	327.8	327.8	327.8	327.8	327.8	327.8	327.5	327.8	327.8	327.8	327.8	327.8	327.8	327.8	327.8	327.8	327.8	327.5	327.8	327.8	327.8	327.5	327.5
metA	537.7	537.7	537.7				537.7	537.7	535.4						537.7	537.7	537.7	537.7	538.7	537.7	537.7	537.7		537.7			537.7	537.7	538.7	538.7
group_3130	167.7	167.7	167.7	167.7	167.7	166.6	167.7	167.7	167.7	167.7	167.7	167.7	167.7	166.6	167.7	167.7	167.7	167.7	167.7	167.7	167.7	167.7	167.7	167.7	166.6	167.7	167.7	167.7	167.7	167.7
argF	438.5	438.5	438.5	435.0	437.7	438.3	437.7	436.1	438.7	437.7	435.0	435.0	435.0	438.3	436.8	436.1	436.8	438.5	437.7	438.7	437.7	437.7	435.0	438.5	438.3	435.0	436.8	438.5	437.7	437.7
clpA	1048.7	1048.7	1048.7	1046.2	1048.4	1049.3	1048.4	1049.1	1048.4	1048.4	1046.2	1046.2	1046.2	1049.3	1048.0	1049.1	1048.0	1048.7	1049.3	1049.1	1048.4	1048.4	1046.2	1048.7	1049.0	1046.2	1048.0	1048.7	1049.3	1049.3
group_2763	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.4	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.8	190.2	190.4	190.4
group_868	115.7	115.7	115.7	114.1	114.1	115.8	114.1	115.7	114.1	114.1	114.1	114.1	114.1	115.8	114.0	115.7	115.7	115.7	115.8	115.7	114.1	114.1	114.1	115.7	115.8	114.1	115.7	115.7	115.7	115.7
iamA	369.0	369.0	369.0	369.0	369.0	369.1	369.0	369.0	369.0	369.0	369.0	369.0	369.0	367.8	369.7	369.0	369.7	369.0	368.4	369.0	361.7	369.0	369.0	369.0	369.1	369.0	369.7	353.1	368.4	368.4
murI	387.2	387.2	387.2	385.3	387.2	384.2	387.2	386.5	387.2	387.2	385.3	385.3	385.3	386.5	387.2	386.5	387.2	387.2	386.3	386.5	387.2	387.2	385.3	387.2	384.2	385.3	387.2	387.2	386.3	386.3
yecS	365.7	365.7	365.7	366.6	365.1	366.6	365.1	365.1	365.1	365.1	366.6	366.6	366.6	366.6	366.6	365.1	366.6	365.7	366.6	365.1	365.1	365.1	366.6	365.7	366.6	366.6	366.6	365.7	366.6	366.6
cdsA	319.5	319.5	319.5	314.2	318.6	318.8	318.6	319.5	318.6	318.6	314.2	314.2	314.2	318.8	321.8	319.5	321.8	319.5	319.5	319.5	318.6	318.6	314.2	319.5	319.7	314.2	321.8	319.5	317.0	317.0
mdaB	183.3	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.6	183.2	183.6	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.2	183.6	183.2	183.2	183.2
group_2943	450.0	450.0	450.0	450.0	450.0	448.3	450.0	450.0	450.0	450.0	450.0	450.0	450.0	448.3	450.0	450.0	450.0	450.0	450.0	447.1	450.0	450.0	450.0	450.0	448.3	450.0	450.0	442.3	450.0	450.0
rplR	201.3	201.3	201.3	201.3	201.3	201.3	201.3	201.3	201.3	201.3	201.3	201.3	201.3	199.7	199.7	201.3	199.7	201.3	199.7	201.3	201.3	201.3	201.3	201.3	201.3	201.3	199.7	201.3	199.7	199.7
group_3049	123.5	123.5	123.5	123.9	123.5	123.5	123.5	123.5	123.5	123.5	123.9	123.9	123.9	123.5	123.5	123.5	123.5	123.5	123.9	123.5	123.5	123.5	123.9	123.5	123.5	123.9	123.5	123.5	123.9	123.9
lpxD	518.0	518.0	518.0	518.0	518.0	517.0	518.0	518.0	518.0	518.0	518.0	518.0	518.0	517.0	518.0	518.0	518.0	518.0	517.6	518.0	518.0	518.0	518.0	518.0	517.0	518.0	518.0	518.0	517.6	517.6
ynaI	570.9	570.9	570.9	577.3	569.9	570.9	569.9	572.0	569.9	569.9	577.3	577.3	577.3	570.9	570.9	572.0	570.9	570.9	572.2	572.0	569.9	569.9	577.3	570.9	570.5	577.3	570.9	570.9	572.2	572.2
panC	311.7	311.7	311.7		311.7	311.7	311.5	307.7		311.5				311.7	306.8	307.7	306.8	311.7	311.7	307.7				311.7	311.7		306.8	311.7	311.7	311.7
aroC	612.6	612.6	612.6	611.7	613.4	612.4	613.4	611.9	613.4	613.4	611.7	611.7	611.7	612.4	614.2	611.9	614.5	612.6	614.2	613.2	613.4	613.4	611.7	612.6	612.4	611.7	614.2	612.6	614.2	614.2
pstB	417.8	417.8	417.8	418.1	415.5	418.1	415.5	418.1	415.5	415.5	418.1	418.1	418.1	418.1	418.1	418.1	418.1	417.8	418.1	418.1	415.5	415.5	418.1	417.8	418.1	418.1	418.1	417.8	417.8	418.1
hisA	194.2	194.2	194.2	192.6	192.2	192.8	192.2	188.2	192.2	192.2	192.6	192.6	192.6	192.8	194.2	188.2	194.2	194.2	194.2	188.2	192.2	192.2	192.6	194.2	192.8	192.6	194.2	194.3	194.2	194.2
fliR	343.5	343.5	343.5	341.2	342.6	343.3	342.6	342.1	342.6	342.6	341.2	341.2	341.2	343.3	342.6	342.1	342.6	343.5	343.5	342.1	342.6	342.6	341.2	343.5	343.3	341.2	342.6	343.5	343.5	343.5
dtpT_5					103.3		103.3	103.3	103.3	103.3					103.8	103.3	103.8			103.3	103.3	103.3			103.3		103.8
yidC	671.0	671.0	671.0	672.8	674.1	674.1	674.1	674.1	674.1	674.1	672.8	672.8	672.8	674.1	670.5	674.1	670.5	671.0	674.1	674.1	673.7	673.7	672.8	671.0	674.1	672.8	670.5	671.0	674.1	674.1
recJ	773.6	773.6	773.6	771.3	773.4	773.4	773.4	773.6	773.4	773.4	771.3	771.3	771.3	773.4	773.4	773.6	773.4	773.6	773.4	773.6	773.4	773.4	771.3	773.6	773.4	771.3	773.4	772.7	773.5	773.4
ymfD	665.8	665.8	665.8	662.3	665.8	67.1	665.8	486.7	665.8	665.8	662.3	662.3	662.3	67.1	664.5	486.7	664.5	665.8	665.8	486.7	665.8	665.8	662.3	665.8	67.1	662.3	664.5		665.8	665.8
moeA_1	534.8	532.2	534.8	530.9	533.6	534.8	533.6	532.4	533.6	533.6	530.9	530.9	530.9	534.8	534.8	532.4	534.8	534.8	535.2	529.8	533.6	533.6	530.9	534.8	534.8	530.9	534.8	534.8	534.3	534.3
mcp3	580.9	582.7	582.7	577.2		287.1		288.2			577.2	577.2	577.2	287.1	582.7	288.2	582.7	582.7	287.5	288.2			577.2	582.7	287.1	577.2	582.7	582.7	287.5	287.5
ctsP	76.8	76.8	76.8	79.3	76.8	76.8	76.8	76.8		76.8	79.3	79.3	79.3	76.8	76.8	76.8	76.8	76.8	76.8	76.8	76.8	76.8	79.3	76.8	76.8	79.3	76.8	76.8	76.8	76.8
ftsH1	793.9	793.9	793.9	793.6	792.0	792.8	792.0	793.8	792.0	792.0	793.6	793.6	793.6	792.8	792.9	793.8	792.9	793.9	793.4	793.8	792.0	792.0	793.6	793.9	792.8	793.6	792.9	793.9	792.6	793.4
group_2634																			107.6										107.6	107.6
